reqYymm,year,cstmSgn,portCd,statKor,expCnt,expDlr,impCnt,impDlr,balPayments
202412,202412,082,KRMAS,마산항,1,1025113,0,0,1025113
202412,202412,102,KRMAS,마산항,1,81488,0,0,81488
202412,202412,110,KRMAS,마산항,60,85165656,2,2072618,83093038
202412,202412,120,KRMAS,마산항,10,5499619,0,0,5499619
202412,202412,121,KRMAS,마산항,15,48796817,0,0,48796817
202412,202412,122,KRMAS,마산항,12,3171819,0,0,3171819
202412,202412,131,KRMAS,마산항,1,121767,0,0,121767
202412,202412,150,KRMAS,마산항,2,2101693,0,0,2101693
202412,202412,151,KRMAS,마산항,3,52302477,0,0,52302477
202412,202412,152,KRMAS,마산항,40,14635580,0,0,14635580
202412,202412,153,KRMAS,마산항,3,7637812,0,0,7637812
202412,202412,154,KRMAS,마산항,6,9309508,0,0,9309508
202412,202412,110,KRMIP,미포항,19,869272215,0,0,869272215
202412,202412,070,KRMOK,목포항,103,986593024,43,54369261,932223763
202412,202412,082,KRMOK,목포항,1,120281,0,0,120281
202412,202412,020,KRMUK,묵호항,10,184741,0,0,184741
202412,202412,023,KRMUK,묵호항,1,26905,0,0,26905
202412,202412,100,KRMUK,묵호항,27,2106844,0,0,2106844
202412,202412,151,KRMUK,묵호항,6,289911,0,0,289911
202412,202412,100,KROKK,옥계항,3,3107820,29,2118905,988915
202412,202412,030,KROKP,옥포항,0,0,2,64792,-64792
202412,202412,051,KROKP,옥포항,18,10034040,36,237725028,-227690988
202412,202412,110,KRONS,온산항,364,1069520622,19,1003860569,65660053
202412,202412,121,KRONS,온산항,1,91624,0,0,91624
202412,202412,010,KRPTK,평택항,9,31325,1,100,31225
202412,202412,011,KRPTK,평택항,2,61260,0,0,61260
202412,202412,012,KRPTK,평택항,22,268197,77,3180507,-2912310
202412,202412,014,KRPTK,평택항,71,3210806,3,40114,3170692
202412,202412,016,KRPTK,평택항,5844,2022504917,208313,3200778332,-1178273415
202412,202412,017,KRPTK,평택항,13,7196849,0,0,7196849
202412,202412,020,KRPTK,평택항,1160,19135470,5768,30207466,-11071996
202412,202412,021,KRPTK,평택항,121,38609796,2270,137060027,-98450231
202412,202412,023,KRPTK,평택항,76,2868604,2,272620,2595984
202412,202412,030,KRPTK,평택항,162,26570197,44,9431636,17138561
202412,202412,033,KRPTK,평택항,13,600866,0,0,600866
202412,202412,039,KRPTK,평택항,4,136856,21470,969755,-832899
202412,202412,040,KRPTK,평택항,17,1250345,8,336103,914242
202412,202412,041,KRPTK,평택항,1,51781,0,0,51781
202412,202412,050,KRPTK,평택항,21,837921,0,0,837921
202412,202412,053,KRPTK,평택항,152,10661423,0,0,10661423
202412,202412,054,KRPTK,평택항,0,0,2,33532,-33532
202412,202412,056,KRPTK,평택항,6,2833551,3,906072,1927479
202412,202412,060,KRPTK,평택항,1,2024,0,0,2024
202412,202412,062,KRPTK,평택항,14,4011700,0,0,4011700
202412,202412,071,KRPTK,평택항,19,617305,16,525886,91419
202412,202412,080,KRPTK,평택항,8,5979197,0,0,5979197
202412,202412,081,KRPTK,평택항,18,930297,0,0,930297
202412,202412,082,KRPTK,평택항,25,1928810,2,87072,1841738
202412,202412,084,KRPTK,평택항,2,22583,0,0,22583
202412,202412,102,KRPTK,평택항,6,111002,3,34013,76989
202412,202412,110,KRPTK,평택항,21,2714532,30,953816,1760716
202412,202412,120,KRPTK,평택항,62,17532229,0,0,17532229
202412,202412,121,KRPTK,평택항,274,99384853,1,1213866,98170987
202412,202412,122,KRPTK,평택항,4,211804,0,0,211804
202412,202412,130,KRPTK,평택항,26,1420343,0,0,1420343
202412,202412,131,KRPTK,평택항,25,3139641,14,932924,2206717
202412,202412,150,KRPTK,평택항,54,2431252,14,1035469,1395783
202412,202412,151,KRPTK,평택항,324,67554653,71,8001068,59553585
202412,202412,152,KRPTK,평택항,950,249163426,243,67293792,181869634
202412,202412,153,KRPTK,평택항,12,4372113,2,338522,4033591
202412,202412,154,KRPTK,평택항,453,72334916,0,0,72334916
202412,202412,010,KRPUS,부산항,1810,36924766,113,4062524,32862242
202412,202412,011,KRPUS,부산항,436,16066326,0,0,16066326
202412,202412,012,KRPUS,부산항,2515,124499636,668,113707214,10792422
202412,202412,014,KRPUS,부산항,4580,335124546,59,9322486,325802060
202412,202412,016,KRPUS,부산항,4310,454376023,819,341276107,113099916
202412,202412,017,KRPUS,부산항,3295,157778004,150,8977072,148800932
202412,202412,020,KRPUS,부산항,5033,316205307,339,9008453,307196854
202412,202412,021,KRPUS,부산항,5209,535920313,570,140190096,395730217
202412,202412,023,KRPUS,부산항,2918,215583378,40,1418231,214165147
202412,202412,030,KRPUS,부산항,49062,3813803998,57981,4381262651,-567458653
202412,202412,033,KRPUS,부산항,4835,303797367,4267,113423321,190374046
202412,202412,037,KRPUS,부산항,0,0,2,4780,-4780
202412,202412,039,KRPUS,부산항,11971,180351335,65237,34180912,146170423
202412,202412,040,KRPUS,부산항,314,15045684,115,4426496,10619188
202412,202412,041,KRPUS,부산항,68,6871659,117,9300656,-2428997
202412,202412,050,KRPUS,부산항,1206,119265864,72,1125012,118140852
202412,202412,051,KRPUS,부산항,18,851279,112,17651954,-16800675
202412,202412,052,KRPUS,부산항,8,477140,0,0,477140
202412,202412,053,KRPUS,부산항,10383,494020020,722,31555882,462464138
202412,202412,054,KRPUS,부산항,29,2324485,20,673100,1651385
202412,202412,056,KRPUS,부산항,1365,121437667,98,12688566,108749101
202412,202412,060,KRPUS,부산항,2138,146284938,15,743795,145541143
202412,202412,062,KRPUS,부산항,748,106251666,15,3744057,102507609
202412,202412,070,KRPUS,부산항,427,24816152,85,6627369,18188783
202412,202412,071,KRPUS,부산항,1231,97664594,96,6226157,91438437
202412,202412,080,KRPUS,부산항,900,94919290,45,3899555,91019735
202412,202412,081,KRPUS,부산항,791,94519914,37,3162449,91357465
202412,202412,082,KRPUS,부산항,1761,135436502,113,5661043,129775459
202412,202412,084,KRPUS,부산항,86,4977979,15,1888671,3089308
202412,202412,090,KRPUS,부산항,133,3823201,57,2515115,1308086
202412,202412,100,KRPUS,부산항,75,3430571,18,800734,2629837
202412,202412,101,KRPUS,부산항,12,658648,47,1718234,-1059586
202412,202412,102,KRPUS,부산항,677,52105754,51,1036474,51069280
202412,202412,110,KRPUS,부산항,9239,1082976415,722,57718545,1025257870
202412,202412,120,KRPUS,부산항,9381,565891854,182,13445226,552446628
202412,202412,121,KRPUS,부산항,6994,630617341,656,44392691,586224650
202412,202412,122,KRPUS,부산항,2013,229848014,77,30112889,199735125
202412,202412,130,KRPUS,부산항,1032,48392291,9,590501,47801790
202412,202412,131,KRPUS,부산항,2054,75452812,159,19826704,55626108
202412,202412,140,KRPUS,부산항,23,3293126,28,2835152,457974
202412,202412,150,KRPUS,부산항,3589,278758829,122,115319807,163439022
202412,202412,151,KRPUS,부산항,3737,537477173,719,140509393,396967780
202412,202412,152,KRPUS,부산항,5272,607415686,276,54329433,553086253
202412,202412,153,KRPUS,부산항,2508,195820803,54,6013515,189807288
202412,202412,154,KRPUS,부산항,1595,146085025,9,240809,145844216
202412,202412,030,KRSCP,삼천포항,0,0,1,78,-78
202412,202412,052,KRSCP,삼천포항,0,0,14,93248764,-93248764
202412,202412,016,KRSHG,포항신항,2,238158,0,0,238158
202412,202412,110,KRSHG,포항신항,0,0,19,19690686,-19690686
202412,202412,121,KRSHG,포항신항,1,1115,0,0,1115
202412,202412,122,KRSHG,포항신항,44,28033696,116,410430829,-382397133
202412,202412,152,KRSHG,포항신항,1,140200,0,0,140200
202412,202412,100,KRSHO,속초항,2,8750,0,0,8750
202412,202412,101,KRSHO,속초항,0,0,33,6359894,-6359894
202412,202412,154,KRTAN,태안항,0,0,7,68848126,-68848126
202412,202412,010,KRTGH,동해항,50,289885,0,0,289885
202412,202412,012,KRTGH,동해항,19,292459,0,0,292459
202412,202412,014,KRTGH,동해항,6,123541,0,0,123541
202412,202412,017,KRTGH,동해항,24,270676,0,0,270676
202412,202412,020,KRTGH,동해항,294,8415496,0,0,8415496
202412,202412,021,KRTGH,동해항,3,37660,0,0,37660
202412,202412,023,KRTGH,동해항,39,406719,0,0,406719
202412,202412,030,KRTGH,동해항,15,153890,1,235,153655
202412,202412,053,KRTGH,동해항,2,8544,0,0,8544
202412,202412,100,KRTGH,동해항,82,10334866,175,132754508,-122419642
